o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
2,A2,1,A1,0.42830456971770187,14.44376594069477,"LINESTRING (-122.4318393 37.7744554,-122.4362773 37.774367)"
2,A2,2,A2,0.0,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4318393 37.7744554)"
2,A2,3,A3,0.3978688388084783,14.662563344470676,"LINESTRING (-122.4318393 37.7744554,-122.4277211 37.774663)"
2,A2,4,A4,0.7626423416088538,14.949593958480024,"LINESTRING (-122.4318393 37.7744554,-122.4239365 37.7743245)"
2,A2,5,A5,1.1216870180899365,15.290491368116518,"LINESTRING (-122.4318393 37.7744554,-122.4202144 37.7744831)"
2,A2,6,B1,0.4946884285768259,15.379575109643195,"LINESTRING (-122.4318393 37.7744554,-122.4361199 37.7716339)"
2,A2,7,B2,0.28854550011888636,17.40897367829903,"LINESTRING (-122.4318393 37.7744554,-122.4319651 37.7714677)"
2,A2,8,B3,0.4345126946641067,12.427052062368682,"LINESTRING (-122.4318393 37.7744554,-122.4283861 37.7715651)"
2,A2,9,B4,0.8189149538852131,14.432872031473032,"LINESTRING (-122.4318393 37.7744554,-122.4239069 37.7714378)"
2,A2,10,B5,1.153257791902383,15.119934710175851,"LINESTRING (-122.4318393 37.7744554,-122.4201831 37.7718125)"
2,A2,11,C1,0.724315941758846,12.767712356676158,"LINESTRING (-122.4318393 37.7744554,-122.4367054 37.7687396)"
2,A2,12,C2,0.5627163482532838,10.735794142921767,"LINESTRING (-122.4318393 37.7744554,-122.4318836 37.7686237)"
2,A2,13,C3,0.6977699197536156,20.970263121131772,"LINESTRING (-122.4318393 37.7744554,-122.4278975 37.7683927)"
2,A2,14,C4,0.9324560482087135,17.932140750229898,"LINESTRING (-122.4318393 37.7744554,-122.4240656 37.7687146)"
2,A2,15,C5,1.3168705114635462,12.433384169905318,"LINESTRING (-122.4318393 37.7744554,-122.4195889 37.7684398)"
2,A2,16,D1,0.9227752568710713,8.798065718152126,"LINESTRING (-122.4318393 37.7744554,-122.4358691 37.7657825)"
2,A2,17,D2,0.8364108148050752,14.092349554227344,"LINESTRING (-122.4318393 37.7744554,-122.4322351 37.7657961)"
