o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
2,A2,7,B2,0.28854550011888636,"LINESTRING (-122.4318393 37.7744554,-122.4319651 37.7714677)"
2,A2,8,B3,0.4345126946641067,"LINESTRING (-122.4318393 37.7744554,-122.4283861 37.7715651)"
2,A2,9,B4,0.8189149538852131,"LINESTRING (-122.4318393 37.7744554,-122.4239069 37.7714378)"
2,A2,10,B5,1.153257791902383,"LINESTRING (-122.4318393 37.7744554,-122.4201831 37.7718125)"
2,A2,11,C1,0.724315941758846,"LINESTRING (-122.4318393 37.7744554,-122.4367054 37.7687396)"
2,A2,12,C2,0.5627163482532838,"LINESTRING (-122.4318393 37.7744554,-122.4318836 37.7686237)"
2,A2,13,C3,0.6977699197536156,"LINESTRING (-122.4318393 37.7744554,-122.4278975 37.7683927)"
2,A2,14,C4,0.9324560482087135,"LINESTRING (-122.4318393 37.7744554,-122.4240656 37.7687146)"
2,A2,15,C5,1.3168705114635462,"LINESTRING (-122.4318393 37.7744554,-122.4195889 37.7684398)"
2,A2,16,D1,0.9227752568710713,"LINESTRING (-122.4318393 37.7744554,-122.4358691 37.7657825)"
2,A2,17,D2,0.8364108148050752,"LINESTRING (-122.4318393 37.7744554,-122.4322351 37.7657961)"
2,A2,18,D3,0.9072425347556103,"LINESTRING (-122.4318393 37.7744554,-122.4278576 37.7659377)"
2,A2,19,D4,1.1304143768262684,"LINESTRING (-122.4318393 37.7744554,-122.423907 37.765834)"
2,A2,20,D5,1.4439011049639865,"LINESTRING (-122.4318393 37.7744554,-122.4196549 37.7657682)"
2,A2,21,E1,1.1884061864473288,"LINESTRING (-122.4318393 37.7744554,-122.4361629 37.7629229)"
2,A2,22,E2,1.118883457799636,"LINESTRING (-122.4318393 37.7744554,-122.4320539 37.7628616)"
2,A2,23,E3,1.1772134819720546,"LINESTRING (-122.4318393 37.7744554,-122.4278735 37.7629176)"
2,A2,24,E4,1.3515277248616682,"LINESTRING (-122.4318393 37.7744554,-122.4239863 37.762857)"
2,A2,25,E5,1.6041491975059465,"LINESTRING (-122.4318393 37.7744554,-122.4199192 37.7628665)"
2,A2,26,Gate1,1.386843740651438,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.76287)"
2,A2,27,Gate2,1.1716624530830042,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.76579)"
2,A2,28,Gate3,0.990463161125781,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.76871)"
2,A2,29,Gate4,0.8648749445616642,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.77163)"
2,A2,30,Gate5,0.8208331697217273,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.77455)"
2,A2,31,Gate6,0.5105654075799564,"LINESTRING (-122.4318393 37.7744554,-122.4361857 37.7774733)"
2,A2,32,Gate7,0.2917491028388031,"LINESTRING (-122.4318393 37.7744554,-122.4320257 37.7774733)"
2,A2,33,Gate8,0.4814554949756452,"LINESTRING (-122.4318393 37.7744554,-122.4278657 37.7774733)"
2,A2,34,Gate9,0.8370917508399437,"LINESTRING (-122.4318393 37.7744554,-122.4237057 37.7774733)"
2,A2,35,Gate10,1.221428326201319,"LINESTRING (-122.4318393 37.7744554,-122.4195457 37.7774733)"
2,A2,36,Gate11,1.5872211373318417,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7745533)"
2,A2,37,Gate12,1.6103829009025616,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7716333)"
